id,name,addr,city,phone,type,class
0,sssssssssssSssssssssss,ddds.ssssssssssss.,ssssssssss,dddSdddSdddd,S,S
1,sssssssssssSssssssssss,ddds.sssssssssssss.,S,dddSdddSdddd,sssssssssss,d
2,sssSsssssssssssss,dddddsssssssssss.,S,dddSdddSdddd,ssssssss,d
3,sssSsssss,dddddsssssssssss.,ssssssssss,S,sssss,d
4,ssssssssSsss,dddsssssssssssss.,S,dddSdddSdddd,sssssssssss,S
5,sssSssssssss,dddsssssssssssss.,ssssss,dddSdddSdddd,sssssssssss,d
6,sssssssss,dddddsssssssssss.,sssssssssss,dddSdddSdddd,ssssss,d
7,sssssssss,dddddsssssssssss.,sssssssssss,dddSdddSdddd,ssssssssssss,d
8,sssssssss,ddds.sssssssss.,ssssssssss,dddSdddSdddd,S,d
9,sssssssss,ddds.sssssssss.,ssssssssss,dddSdddSdddd,sssssssssss,S
10,sssssssssssss,ddddssssss.,sssssssssss,S,ssssss,d
11,sssssssssssss,ddddssssss.,S,dddSdddSdddd,ssssssssssssss,d
12,ssssss,ddddssssssssss.,S,S,sssssssssss,S
13,ssssss,ddddssssssssss.,ssssssssss,dddSdddSdddd,sssssssssss,d
14,sssss,ddddssssssssss.ssss,S,dddSdddSdddd,ssssssss,d
15,ssssssssssssssss,ddddssssssssss.,S,dddSdddSdddd,S,d
16,sssssss,ddddds.ssssssss.,ssssss,dddSdddSdddd,S,S
17,sssssss,ddddds.ssssssss.,ssssss,S,S,S
18,sssssssssssssss,ddddsssssssss,S,dddSdddSdddd,S,d
19,ssssssss,ddddsssssssss,ssssssssssss,S,ssssssssSsssssssssssS,d
20,sssssssssssssss,dddds.ssssssssssss.,ssssssssss,dddSdddSdddd,sssss,dd
21,sssss,ddddssssssssssss.,ssssssss,dddSdddSdddd,ssssssss,dd
22,sSsssssssss,ddds.sssssssssssss.,ssssssssss,S,S,dd
23,sSsssssssss,ddds.sssssssssssss.,s.sssssssss,S,ssssssSsssssssS,dd
24,ssssssssssss,ddddssssssssss.,S,dddSdddSdddd,S,dd
25,ssssssssssssSssssssssssS,ddddssssssssss.,ssssssssss,dddSdddSdddd,ssssssssssss,dd
26,sssssssssssss,dssss.,ssssssssss,dddSdddSdddd,S,S
27,sssssssssssss,dddds.sssssss.,ssssssssss,S,sssssss,dd
28,sssssssss,ddds.sssssssssssss.,S,dddSdddSdddd,sssss,dd
29,sssssssss,ddds.sssssssssssss.,S,S,sssssss,S
30,sssssss,ddddsssssssssssssss.,S,dddSdddSdddd,ssssssss,dd
31,sssssssSssssssssssS,ddddsssssssssssssss.,s.sssssssss,dddSdddSdddd,sssssssssss,dd
32,ssssss,ddddssssssssss.,S,dddSdddSdddd,sssssssssss,dd
33,ssssss,ddddssssssssss.,ssssssssss,dddSdddSdddd,sssssssssss,dd
34,ssssssssSssssssssssss,dddds.sssssssss.,ssssssssss,dddSdddSdddd,ssssssss,S
35,sssssssssssssssssss,dddds.sssssssss.,sssssssss,dddSdddSdddd,ssssssssss,dd
36,sssssssssss,dddddsssssssssss.,S,dddSdddSdddd,ssssss,dd
37,sssssssssss,dddddsssssssssss.,S,dddSdddSdddd,S,dd
38,sssssssssssssss,ddds.sssssss.,ssssssssss,S,sssssss,dd
39,sssssssssssssss,ddds.sssssss.,S,S,S,dd
40,sssss,ddddsssssss.,ssssssssss,dddSdddSdddd,sssssssssss,dd
41,sssssSssssssssssS,ddddssssssssss.,s.sssssssss,S,sssssssssss,S
42,sssssssss,ddddssssssss.,sssssssssss,dddSdddSdddd,S,dd
43,sssssssss,ddddssssssss.,sssssssssss,S,sssssss,S
44,ssssssssssSssssssssssssssssssssss,dds.ssssssssss.,S,dddSdddSdddd,sssss,S
45,ssssssssssSs,dds.ssssssssss.,ssssssss,dddSdddSdddd,sssssss,dd
46,ddssss,dds.ddssss.,sssssss,S,ssssssss,dd
47,ddssss,dds.ddssss.,sssssssssss,dddSdddSdddd,S,dd
48,sssssss,dds.ddssss.,sssssss,S,S,dd
49,sssssss,dds.ddssss.,sssssssssss,dddSdddSdddd,S,S
50,sssssss,dds.ddssss.,sssssss,S,S,S
51,sssssss,dds.ddssss.,sssssssssss,dddSdddSdddd,ssssssssSsssS,S
52,ssssssss,ddds.ddssss.,sssssss,dddSdddSdddd,S,dd
53,ssssssss,ddds.ddssss.,S,dddSdddSdddd,ssssssssssss,dd
54,sssssssssssssss,ds.ddssss.,S,dddSdddSdddd,sssssssssss,dd
55,sssssssssssssss,ds.ddssss.,sssssssssss,dddSdddSdddd,S,dd
56,sssssssSs,ddddsssssssssssssssddsssssddsssss.,sssssss,dddSdddSdddd,S,dd
57,sssssssSs,ddddssssssss,sssssssssss,dddSdddSdddd,sssssss,dd
58,ssssssssssss,ddddsssss.sssssssddsssssddsssss.,S,dddSdddSdddd,ssssssssssss,S
59,ssssssssssss,dddssssssssss.,sssssssssss,dddSdddSdddd,S,dd
60,sssssssssss,dssssssssss.ssssssssssss.,sssssss,dddSdddSdddd,S,dd
61,sssssssssss,dssssssssss.,sssssssssss,dddSdddSdddd,S,dd
62,ssssss,dds.ddssss.,sssssss,dddSdddSdddd,S,dd
63,ssssss,dds.ddssss.,sssssssssss,dddSdddSdddd,S,S
64,sssss,ddds.ddssss.,S,dddSdddSdddd,sssss,dd
65,sssss,ddds.ddssss.,sssssssssss,S,ssssss,dd
66,sssssss,ddds.ddssss.,S,dddSdddSdddd,sssssss,S
67,sssssss,ddds.ddssss.,S,S,sssssss,dd
68,ssssssssssssssssssss,dds.ddssss.,sssssss,dddSdddSdddd,S,dd
69,sssssssssss,dds.ddssss.,S,dddSdddSdddd,ssssssssSsssS,S
70,sssssssssSsssss,dds.ddssss.,sssssss,dddSdddSdddd,ssssssss,S
71,sssssssssSsssss,dds.ddssss.,S,S,ssssssssSsssS,dd
72,ssssssssssssss,dds.ddssss.ssssssssssssss.ssssssssssss,sssssss,dddSdddSdddd,ssssssss,dd
73,ssssssssssssss,dds.ddssss.,sssssssssss,dddSdddSdddd,ssssssssSsssS,S
74,sssssssssss,ddds.ddssss.,sssssss,S,ssssssssssss,dd
75,sssssssssss,ddds.ddssss.,sssssssssss,S,S,S
76,ssss,ddds.ddssss.,sssssss,dddSdddSdddd,S,dd
77,ssss,ddds.ddssss.,S,dddSdddSdddd,ssssssssssss,S
78,sssssssssss,dds.ddssss.,sssssss,dddSdddSdddd,S,S
79,sssssssssss,dds.ddssss.,sssssssssss,dddSdddSdddd,ssssssSsssssssS,S
