id,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O
0,dd, sssss-sss,ddddd, sssssssss,dd, sssss-sssssss, sss-ssssssss, sss-ss-ssssss, sssss, ssss,dddd,d,dd, ssssss-ssssss, <=dds
1,dd, ssss-sss-sss-sss,ddddd, sssssssss,dd, sssssss-sss-ssssss, ssss-ssssssssss, sssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
2,dd, sssssss,dddddd, ss-ssss,d, ssssssss, ssssssss-ssssssss, sss-ss-ssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
3,dd, sssssss,dddddd, ddss,d, sssssss-sss-ssssss, ssssssss-ssssssss, sssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
4,dd, sssssss,dddddd, sssssssss,dd, sssssss-sss-ssssss, ssss-sssssssss, ssss, sssss, ssssss,d,d,dd, ssss, <=dds
5,dd, sssssss,dddddd, sssssss,dd, sssssss-sss-ssssss, ssss-ssssssssss, ssss, sssss, ssssss,d,d,dd, ssssss-ssssss, <=dds
6,dd, sssssss,dddddd, dss,d, sssssss-ssssss-ssssss, sssss-sssssss, sss-ss-ssssss, sssss, ssssss,d,d,dd, sssssss, <=dds
7,dd, ssss-sss-sss-sss,dddddd, ss-ssss,d, sssssss-sss-ssssss, ssss-ssssssssss, sssssss, sssss, ssss,d,d,dd, ssssss-ssssss, >dds
8,dd, sssssss,ddddd, sssssss,dd, sssss-sssssss, ssss-sssssssss, sss-ss-ssssss, sssss, ssssss,ddddd,d,dd, ssssss-ssssss, >dds
9,dd, sssssss,dddddd, sssssssss,dd, sssssss-sss-ssssss, ssss-ssssssssss, sssssss, sssss, ssss,dddd,d,dd, ssssss-ssssss, >dds
10,dd, sssssss,dddddd, ssss-sssssss,dd, sssssss-sss-ssssss, ssss-ssssssssss, sssssss, sssss, ssss,d,d,dd, ssssss-ssssss, >dds
11,dd, sssss-sss,dddddd, sssssssss,dd, sssssss-sss-ssssss, ssss-sssssssss, sssssss, sssss-sss-ssssssss, ssss,d,d,dd, sssss, >dds
12,dd, sssssss,dddddd, sssssssss,dd, sssss-sssssss, sss-ssssssss, sss-sssss, sssss, ssssss,d,d,dd, ssssss-ssssss, <=dds
13,dd, sssssss,dddddd, sssss-ssss,dd, sssss-sssssss, sssss, sss-ss-ssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
14,dd, sssssss,dddddd, sssss-sss,dd, sssssss-sss-ssssss, sssss-ssssss, sssssss, sssss-sss-ssssssss, ssss,d,d,dd, ?, >dds
15,dd, sssssss,dddddd, dss-dss,d, sssssss-sss-ssssss, sssssssss-ssssss, sssssss, ssss-ssssss-ssssss, ssss,d,d,dd, ssssss, <=dds
16,dd, ssss-sss-sss-sss,dddddd, ss-ssss,d, sssss-sssssss, sssssss-sssssss, sss-sssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
17,dd, sssssss,dddddd, ss-ssss,d, sssss-sssssss, sssssss-ss-ssssss, sssssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
18,dd, sssssss,ddddd, ddss,d, sssssss-sss-ssssss, sssss, sssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
19,dd, ssss-sss-sss-sss,dddddd, sssssss,dd, ssssssss, ssss-ssssssssss, sssssssss, sssss, ssssss,d,d,dd, ssssss-ssssss, >dds
20,dd, sssssss,dddddd, sssssssss,dd, sssssss-sss-ssssss, ssss-sssssssss, sssssss, sssss, ssss,d,d,dd, ssssss-ssssss, >dds
21,dd, sssssss,dddddd, ss-ssss,d, sssssssss, sssss-sssssss, sssssssss, sssss, ssssss,d,d,dd, ssssss-ssssss, <=dds
22,dd, sssssss-sss,ddddd, dss,d, sssssss-sss-ssssss, sssssss-sssssss, sssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
23,dd, sssssss,dddddd, ddss,d, sssssss-sss-ssssss, sssssssss-ssssss, sssssss, sssss, ssss,d,dddd,dd, ssssss-ssssss, <=dds
24,dd, sssssss,dddddd, ss-ssss,d, ssssssss, ssss-sssssss, sssssssss, sssss, ssssss,d,d,dd, ssssss-ssssss, <=dds
25,dd, sssss-sss,dddddd, sssssssss,dd, sssssss-sss-ssssss, ssss-sssssss, sssssss, sssss, ssss,d,d,dd, ssssss-ssssss, >dds
26,dd, sssssss,dddddd, ss-ssss,d, sssss-sssssss, sssss-ssssss, sss-sssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
27,dd, ?,dddddd, ssss-sssssss,dd, sssssss-sss-ssssss, ?, sssssss, sssss-sss-ssssssss, ssss,d,d,dd, sssss, >dds
28,dd, sssssss,dddddd, ss-ssss,d, ssssssss, ssss-ssssssssss, sss-ss-ssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
29,dd, sssssss,dddddd, ss-ssss,d, sssssss-sss-ssssss, sssss-ssssss, sssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
30,dd, sssss-sss,dddddd, sssss-ssss,dd, sssss-sssssss, ssssssssss-ssss, sss-ss-ssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
