id,DBN,SchoolName,AP Test Takers ,Total Exams Taken,Number of Exams with scores 3 4 or 5
0,ddsddd,ssssssssss ssssssssssss s.s.,dd,dd,dd
1,ddsddd,ssss ssss sssssssss ss,dd,dd,s
2,ddsddd,sssss ssssssss ssss,dd,dd,dd
3,ddsddd,"sss ssssssssssss sss,ssss,ssss",ddd,ddd,ddd
4,ddsddd,ssss ssssss ss sssssssssss ssssssssss,s,s,s
5,ddsddd,ssss ssss ssssss,dd,dd,s
6,ddsddd,"sssss ssssssss ssssss ss ssssss sss ssssssssssss,",dd,ddd,dd
7,ddsddd,"ssssss sssssss ssssss, sss",dd,dd,s
8,ddsddd,"sssss ssssssss sssssss ss ssssssssss sss sss, sss",dd,dd,dd
9,ddsddd,sssss sssssssss ssss sssssss,s,s,s
10,ddsddd,ss sss sssssssssssss sssssss,ddd,ddd,ddd
11,ddsddd,ssssssssssss ssssssssss ssss,dd,dd,dd
12,ddsddd,ssssss sssssss ssssss ss,dd,ddd,dd
13,ddsddd,sss sss ss sss ssss. sssssss,ddd,ddd,dd
14,ddsddd,ssssss ss sss ssssss,dd,dd,s
15,ddsddd,sss ssssss ssssss,s,s,s
16,ddsddd,sssssss sssssssss ssss ssssss,ddd,ddd,ddd
17,ddsddd,ssssssssss ssss ssssss,dd,dd,dd
18,ddsddd,ssssss ssss & sssss ssss,ddd,ddd,dd
19,ddsddd,s s sss ssssssssss & ssssss,dd,dd,dd
20,ddsddd,ssssss ssssss,dd,dd,s
21,ddsddd,sssssssss sssssss sssssss ss,dd,dd,dd
22,ddsddd,ss sss ssssssssss,d,d,s
23,ddsddd,sss-sssssssss sssssssssssss,dd,dd,d
24,ddsddd,ssssssssss ssssss ss,dd,dd,dd
25,ddsddd,ssssssssss ss,dddd,dddd,dddd
26,ddsddd,ss ss sssssssss & sssssss,ddd,ddd,dd
27,ddsddd,ssssss sssssssss,dd,dd,dd
28,ddsddd,sssss sssssssss s.s.,ddd,ddd,dd
29,ddsddd,ssssssssss s. sssssss ss,dd,ddd,dd
30,ddsddd,sssssssss sssssss ssss ssssss,dd,ddd,dd
31,ddsddd,ssss ssssss sss ssss ssssssss sss sssss sssssss,dd,dd,dd
32,ddsddd,ssssss ssss ssssss,d,d,s
33,ddsddd,sssssssss ssss.sssss s.s.,dd,ddd,dd
34,ddsddd,s.s.sssss ss ss ssssssss,dd,ddd,dd
35,ddsddd,ss sss sssssss ssssssssss,dd,dd,dd
36,ddsddd,sssssss sss,dd,dd,dd
37,ddsddd,ssssss ssssss s.s.,dd,dd,dd
38,ddsddd,ss sssssssssssss sssssss sss,dd,dd,d
39,ddsddd,ss ss sss sss ssssss,dd,ddd,dd
40,ddsddd,ssss ssssssss sssssssss ssss,dd,dd,dd
41,ddsddd,ssssssss ssss ssss ssssss,dd,dd,s
42,ddsddd,sssss s. ssssssss ss,dd,dd,d
43,ddsddd,ssssss ssssss,ddd,ddd,ddd
44,ddsddd,ssssssss s.sssssssss ss,ddd,dddd,ddd
45,ddsddd,"sss, ss ss sss ssss & ssss",dd,dd,d
46,ddsddd,sssssssss ssssssss sssssss ss,dd,dd,s
47,ddsddd,sssssssss ssss sss ssssss sss,dd,dd,s
48,ddsddd,sssssssss ssssss-sssssss&ssss,ddd,ddd,ddd
49,ddsddd,ssss ssss s.s.,s,s,s
50,ddsddd,sssssss ssss ssss s.s.,s,s,s
51,ddsddd,sss sssss sssss's ssssssssss ssssss ss ssss ssssss,dd,dd,dd
52,ddsddd,sssss sssss's ssssssssss sss,s,s,s
53,ddsddd,ssss ssss ssss ssssss,dd,dd,s
54,ddsddd,sssssss sss ssssss ssssss: s sssssss sssss ssssss,dd,dd,s
55,ddsddd,sssss sssssss ss ssssss,d,d,s
56,ddsddd,ssssssss sssssss sss. ssssss,ddd,ddd,ddd
57,ddsddd,ssssssss ssssssss sssssss,dd,dd,s
58,ddsddd,ssss ssssss sss ssss sssssss sssssssssss @ ssss,ddd,ddd,dd
59,ddsddd,s.s. sss's ssssssss & sssssss,ddd,ddd,dd
60,ddsddd,s.s. sssss & ssssssssssssss,dd,dd,s
61,ddsddd,s.s. sss & ssssss sssssss,ddd,ddd,dd
62,ddsddd,s.s. ssssss sssssss & sssssss,dd,dd,dd
63,ddsddd,s ssssss ssssssss ssssss,ddd,ddd,dd
64,ddsddd,ssssssss sssssss ss sss & ssss,dd,ddd,dd
65,ddsddd,sssss sssss sssssssssss: s sssssss sssss ssssss,dd,dd,dd
66,ddsddd,sssssss sssssss/ ssssss,dd,ddd,dd
67,ddsddd,sssssss ssss ssss/ssssss ssss,dd,dd,dd
68,ddsddd,sssss ssssssssss sssssss ss ssss ssssss,dd,dd,s
69,ddsddd,sss sssssssss ssss ssssss,dd,dd,s
70,ddsddd,sssss ssssssss ssssss sss sssssss ss ssssss,s,s,s
71,ddsddd,sssss sssssss ss sssssss,dd,dd,dd
72,ddsddd,ssssss s. sssss sss,dd,dd,s
73,ddsddd,ssssss sssssss sss,dd,ddd,s
