id,name,addr,city,phone,type,class
0,sssss ssssss's ss sssssss,ddd s. ss sssssss sss.,sss sssssss,ddd/ddd-dddd,?,?
1,sssss ssssss's ss sssssss,ddd s. ss sssssss ssss.,?,ddd-ddd-dddd,sssssssssss,d
2,sss's ssssssssssss,ddddd sssssss ssss.,?,ddd/ddd-dddd,ssssssss,d
3,sss's ssss,ddddd sssssss ssss.,ssssss ssss,?,sssss,d
4,sssss sss-sss,ddd sssss ssssss ss.,?,ddd/ddd-dddd,sssssssssss,?
5,sss-sss sssss,ddd sssss ssssss ss.,sss sss,ddd-ddd-dddd,sssssssssss,d
6,ssss sssss,ddddd sssssss ssss.,sssssss ssss,ddd/ddd-dddd,ssssss,d
7,ssss sssss,ddddd sssssss ssss.,sssssss ssss,ddd-ddd-dddd,ssssss ssssss,d
8,sssssssss,ddd s. ss ssss sss.,sss sssssss,ddd/ddd-dddd,?,d
9,sssssssss,ddd s. ss ssss sss.,sss sssssss,ddd-ddd-dddd,sssssssssss,?
10,sssssss ss ssss,dddd ssss ss.,sssss ssssss,?,ssssss,d
11,sssssss ss ssss,dddd ssss ss.,?,ddd-ddd-dddd,sssssss sss ssss,d
12,ssssss,dddd sssssss sss.,?,?,sssssssssss,?
13,ssssss,dddd sssssss sss.,sss sssssss,ddd-ddd-dddd,sssssssssss,d
14,sssss,dddd ssssss ssss. ssss,?,ddd/ddd-dddd,ssssssss,d
15,sssss ss sss ssssss,dddd ssssss ssss.,?,ddd-ddd-dddd,?,d
16,sssssss,ddddd s. ssssss ss.,ssssss,ddd/ddd-dddd,?,?
17,sssssss,ddddd s. ssssss ss.,ssssss,?,?,?
18,sssss ss sss sssss,dddd ssssss sss,?,ddd/ddd-dddd,?,d
19,sssss  sss,dddd ssssss sss,sssssss sssss,?,ssssssss (sssssssssss),d
20,ssssssssss sssss,dddd s. sssssssss sss.,sss sssssss,ddd/ddd-dddd,sssss,dd
21,sssss,dddd sssssssss sss.,sss sssss,ddd-ddd-dddd,ssssssss,dd
22,s'sssssssss,ddd s. ss sssssss ssss.,sss sssssss,?,?,dd
