id,DBN,SchoolName,AP Test Takers ,Total Exams Taken,Number of Exams with scores 3 4 or 5
0,ddsddd,sssssssssssssssssssssssSsS,dd,dd,dd
1,ddsddd,sssssssssssssssssss,dd,dd,s
2,ddsddd,sssssssssssssssss,dd,dd,dd
3,ddsddd,ssssssssssssssssssSssssSssss,ddd,ddd,ddd
4,ddsddd,sssssssssssssssssssssssssssssssss,s,s,s
5,ddsddd,ssssssssssssss,dd,dd,s
6,ddsddd,ssssssssssssssssssssssssssssssssssssssssssS,dd,ddd,dd
7,ddsddd,sssssssssssssssssssSsss,dd,dd,s
8,ddsddd,ssssssssssssssssssssssssssssssssssssssSsss,dd,dd,dd
9,ddsddd,sssssssssssssssssssssssss,s,s,s
10,ddsddd,sssssssssssssssssssssssss,ddd,ddd,ddd
11,ddsddd,ssssssssssssssssssssssssss,dd,dd,dd
12,ddsddd,sssssssssssssssssssss,dd,ddd,dd
13,ddsddd,sssssssssssssssSsssssss,ddd,ddd,dd
14,ddsddd,sssssssssssssssss,dd,dd,s
15,ddsddd,sssssssssssssss,s,s,s
16,ddsddd,ssssssssssssssssssssssssss,ddd,ddd,ddd
17,ddsddd,ssssssssssssssssssss,dd,dd,dd
18,ddsddd,ssssssssssSsssssssss,ddd,ddd,dd
19,ddsddd,sssssssssssssssSssssss,dd,dd,dd
20,ddsddd,ssssssssssss,dd,dd,s
21,ddsddd,sssssssssssssssssssssssss,dd,dd,dd
22,ddsddd,sssssssssssssss,d,d,s
23,ddsddd,sssSssssssssssssssssssssss,dd,dd,d
24,ddsddd,ssssssssssssssssss,dd,dd,dd
25,ddsddd,ssssssssssss,dddd,dddd,dddd
26,ddsddd,sssssssssssssSsssssss,ddd,ddd,dd
27,ddsddd,sssssssssssssss,dd,dd,dd
28,ddsddd,sssssssssssssssSsS,ddd,ddd,dd
29,ddsddd,sssssssssssSsssssssss,dd,ddd,dd
30,ddsddd,ssssssssssssssssssssssssss,dd,ddd,dd
31,ddsddd,ssssssssssssssssssssssssssssssssssssssss,dd,dd,dd
32,ddsddd,ssssssssssssssss,d,d,s
33,ddsddd,sssssssssssssSssssssSsS,dd,ddd,dd
34,ddsddd,sSsSsssssssssssssssss,dd,ddd,dd
35,ddsddd,ssssssssssssssssssssss,dd,dd,dd
36,ddsddd,ssssssssss,dd,dd,dd
37,ddsddd,sssssssssssssSsS,dd,dd,dd
38,ddsddd,sssssssssssssssssssssssss,dd,dd,d
39,ddsddd,ssssssssssssssss,dd,ddd,dd
40,ddsddd,sssssssssssssssssssssssss,dd,dd,dd
41,ddsddd,ssssssssssssssssssssss,dd,dd,s
42,ddsddd,ssssssSssssssssss,dd,dd,d
43,ddsddd,ssssssssssss,ddd,ddd,ddd
44,ddsddd,sssssssssSsssssssssss,ddd,dddd,ddd
45,ddsddd,sssSsssssssssssSssss,dd,dd,d
46,ddsddd,ssssssssssssssssssssssssss,dd,dd,s
47,ddsddd,sssssssssssssssssssssssss,dd,dd,s
48,ddsddd,sssssssssssssssSsssssssSssss,ddd,ddd,ddd
49,ddsddd,sssssssssSsS,s,s,s
50,ddsddd,ssssssssssssssssSsS,s,s,s
51,ddsddd,sssssssssssssSsssssssssssssssssssssssssssss,dd,dd,dd
52,ddsddd,ssssssssssSssssssssssssss,s,s,s
53,ddsddd,ssssssssssssssssss,dd,dd,s
54,ddsddd,ssssssssssssssssssssssSsssssssssssssssssss,dd,dd,s
55,ddsddd,ssssssssssssssssssss,d,d,s
56,ddsddd,ssssssssssssssssssSssssss,ddd,ddd,ddd
57,ddsddd,sssssssssssssssssssssss,dd,dd,s
58,ddsddd,sssssssssssssssssssssssssssssssssssSssss,ddd,ddd,dd
59,ddsddd,sSsSsssSsssssssssSsssssss,ddd,ddd,dd
60,ddsddd,sSsSsssssSssssssssssssss,dd,dd,s
61,ddsddd,sSsSsssSsssssssssssss,ddd,ddd,dd
62,ddsddd,sSsSsssssssssssssSsssssss,dd,dd,dd
63,ddsddd,sssssssssssssssssssss,ddd,ddd,dd
64,ddsddd,ssssssssssssssssssssSssss,dd,ddd,dd
65,ddsddd,sssssssssssssssssssssSsssssssssssssssssss,dd,dd,dd
66,ddsddd,ssssssssssssssSssssss,dd,ddd,dd
