id,name,addr,city,phone,type,class
0,sssssssssssSssssssssss,dddsSssssssssssssS,ssssssssss,dddSdddSdddd,S,S
1,sssssssssssSssssssssss,dddsSsssssssssssssS,S,dddSdddSdddd,sssssssssss,d
2,sssSsssssssssssss,dddddsssssssssssS,S,dddSdddSdddd,ssssssss,d
3,sssSsssss,dddddsssssssssssS,ssssssssss,S,sssss,d
4,ssssssssSsss,dddsssssssssssssS,S,dddSdddSdddd,sssssssssss,S
5,sssSssssssss,dddsssssssssssssS,ssssss,dddSdddSdddd,sssssssssss,d
6,sssssssss,dddddsssssssssssS,sssssssssss,dddSdddSdddd,ssssss,d
7,sssssssss,dddddsssssssssssS,sssssssssss,dddSdddSdddd,ssssssssssss,d
8,sssssssss,dddsSsssssssssS,ssssssssss,dddSdddSdddd,S,d
9,sssssssss,dddsSsssssssssS,ssssssssss,dddSdddSdddd,sssssssssss,S
10,sssssssssssss,ddddssssssS,sssssssssss,S,ssssss,d
11,sssssssssssss,ddddssssssS,S,dddSdddSdddd,ssssssssssssss,d
12,ssssss,ddddssssssssssS,S,S,sssssssssss,S
13,ssssss,ddddssssssssssS,ssssssssss,dddSdddSdddd,sssssssssss,d
14,sssss,ddddssssssssssSssss,S,dddSdddSdddd,ssssssss,d
15,ssssssssssssssss,ddddssssssssssS,S,dddSdddSdddd,S,d
16,sssssss,dddddsSssssssssS,ssssss,dddSdddSdddd,S,S
17,sssssss,dddddsSssssssssS,ssssss,S,S,S
18,sssssssssssssss,ddddsssssssss,S,dddSdddSdddd,S,d
19,ssssssss,ddddsssssssss,ssssssssssss,S,ssssssssSsssssssssssS,d
20,sssssssssssssss,ddddsSssssssssssssS,ssssssssss,dddSdddSdddd,sssss,dd
21,sssss,ddddssssssssssssS,ssssssss,dddSdddSdddd,ssssssss,dd
22,sSsssssssss,dddsSsssssssssssssS,ssssssssss,S,S,dd
23,sSsssssssss,dddsSsssssssssssssS,sSsssssssss,S,ssssssSsssssssS,dd
24,ssssssssssss,ddddssssssssssS,S,dddSdddSdddd,S,dd
25,ssssssssssssSssssssssssS,ddddssssssssssS,ssssssssss,dddSdddSdddd,ssssssssssss,dd
26,sssssssssssss,dssssS,ssssssssss,dddSdddSdddd,S,S
27,sssssssssssss,ddddsSsssssssS,ssssssssss,S,sssssss,dd
28,sssssssss,dddsSsssssssssssssS,S,dddSdddSdddd,sssss,dd
29,sssssssss,dddsSsssssssssssssS,S,S,sssssss,S
30,sssssss,ddddsssssssssssssssS,S,dddSdddSdddd,ssssssss,dd
31,sssssssSssssssssssS,ddddsssssssssssssssS,sSsssssssss,dddSdddSdddd,sssssssssss,dd
32,ssssss,ddddssssssssssS,S,dddSdddSdddd,sssssssssss,dd
33,ssssss,ddddssssssssssS,ssssssssss,dddSdddSdddd,sssssssssss,dd
34,ssssssssSssssssssssss,ddddsSsssssssssS,ssssssssss,dddSdddSdddd,ssssssss,S
35,sssssssssssssssssss,ddddsSsssssssssS,sssssssss,dddSdddSdddd,ssssssssss,dd
36,sssssssssss,dddddsssssssssssS,S,dddSdddSdddd,ssssss,dd
37,sssssssssss,dddddsssssssssssS,S,dddSdddSdddd,S,dd
38,sssssssssssssss,dddsSsssssssS,ssssssssss,S,sssssss,dd
39,sssssssssssssss,dddsSsssssssS,S,S,S,dd
40,sssss,ddddsssssssS,ssssssssss,dddSdddSdddd,sssssssssss,dd
41,sssssSssssssssssS,ddddssssssssssS,sSsssssssss,S,sssssssssss,S
42,sssssssss,ddddssssssssS,sssssssssss,dddSdddSdddd,S,dd
43,sssssssss,ddddssssssssS,sssssssssss,S,sssssss,S
44,ssssssssssSssssssssssssssssssssss,ddsSssssssssssS,S,dddSdddSdddd,sssss,S
45,ssssssssssSs,ddsSssssssssssS,ssssssss,dddSdddSdddd,sssssss,dd
46,ddssss,ddsSddssssS,sssssss,S,ssssssss,dd
47,ddssss,ddsSddssssS,sssssssssss,dddSdddSdddd,S,dd
48,sssssss,ddsSddssssS,sssssss,S,S,dd
49,sssssss,ddsSddssssS,sssssssssss,dddSdddSdddd,S,S
50,sssssss,ddsSddssssS,sssssss,S,S,S
51,sssssss,ddsSddssssS,sssssssssss,dddSdddSdddd,ssssssssSsssS,S
52,ssssssss,dddsSddssssS,sssssss,dddSdddSdddd,S,dd
53,ssssssss,dddsSddssssS,S,dddSdddSdddd,ssssssssssss,dd
54,sssssssssssssss,dsSddssssS,S,dddSdddSdddd,sssssssssss,dd
55,sssssssssssssss,dsSddssssS,sssssssssss,dddSdddSdddd,S,dd
56,sssssssSs,ddddsssssssssssssssddsssssddsssssS,sssssss,dddSdddSdddd,S,dd
57,sssssssSs,ddddssssssss,sssssssssss,dddSdddSdddd,sssssss,dd
58,ssssssssssss,ddddsssssSsssssssddsssssddsssssS,S,dddSdddSdddd,ssssssssssss,S
59,ssssssssssss,dddssssssssssS,sssssssssss,dddSdddSdddd,S,dd
60,sssssssssss,dssssssssssSssssssssssssS,sssssss,dddSdddSdddd,S,dd
61,sssssssssss,dssssssssssS,sssssssssss,dddSdddSdddd,S,dd
62,ssssss,ddsSddssssS,sssssss,dddSdddSdddd,S,dd
63,ssssss,ddsSddssssS,sssssssssss,dddSdddSdddd,S,S
64,sssss,dddsSddssssS,S,dddSdddSdddd,sssss,dd
65,sssss,dddsSddssssS,sssssssssss,S,ssssss,dd
66,sssssss,dddsSddssssS,S,dddSdddSdddd,sssssss,S
67,sssssss,dddsSddssssS,S,S,sssssss,dd
68,ssssssssssssssssssss,ddsSddssssS,sssssss,dddSdddSdddd,S,dd
69,sssssssssss,ddsSddssssS,S,dddSdddSdddd,ssssssssSsssS,S
70,sssssssssSsssss,ddsSddssssS,sssssss,dddSdddSdddd,ssssssss,S
71,sssssssssSsssss,ddsSddssssS,S,S,ssssssssSsssS,dd
72,ssssssssssssss,ddsSddssssSssssssssssssssSssssssssssss,sssssss,dddSdddSdddd,ssssssss,dd
73,ssssssssssssss,ddsSddssssS,sssssssssss,dddSdddSdddd,ssssssssSsssS,S
74,sssssssssss,dddsSddssssS,sssssss,S,ssssssssssss,dd
75,sssssssssss,dddsSddssssS,sssssssssss,S,S,S
76,ssss,dddsSddssssS,sssssss,dddSdddSdddd,S,dd
77,ssss,dddsSddssssS,S,dddSdddSdddd,ssssssssssss,S
78,sssssssssss,ddsSddssssS,sssssss,dddSdddSdddd,S,S
79,sssssssssss,ddsSddssssS,sssssssssss,dddSdddSdddd,ssssssSsssssssS,S
80,ssssssssssss,ddsSddssssSsssssssdsssssdsssssS,S,S,ssssss,dd
81,ssssssssssss,ddsSddssssS,sssssssssss,dddSdddSdddd,ssssssSsssssssS,S
82,sssssssssss,dddsSddssssS,S,dddSdddSdddd,S,dd
83,sssssssssss,dddsSddssssS,sssssssssss,dddSdddSdddd,sssssss,dd
84,sssssssssssss,dddssssssssssss,S,dddSdddSdddd,S,dd
85,sssssssssssss,dddsSddssssS,S,S,S,S
86,ssssssssss,dsSddssssS,S,dddSdddSdddd,ssssssss,dd
87,ssssssssssSsssssssssssS,dsSddssssS,S,dddSdddSdddd,sssss,dd
88,ssssss,dddsSddssssS,S,S,S,S
89,ssssss,dddsSddssssS,S,dddSdddSdddd,ssssssSsssssssS,dd
90,ssssssssssssssssss,ddsSddssssS,sssssss,S,S,S
91,ssssssssssssssssss,ddsSddssssS,sssssssssss,S,sssssss,S
92,sssss,dddsSddssssS,S,dddSdddSdddd,ssssssss,S
93,sssss,dddsSddssssS,sssssssssss,dddSdddSdddd,ssssssssSsssS,dd
94,sssssssss,ddddsssssSsssssssddsssssddsssssS,sssssss,S,ssssssss,S
95,sssssssss,dddssssssssS,sssssssssss,dddSdddSdddd,S,dd
96,ssssssss,ddssssssSsssssssssssS,S,dddSdddSdddd,sssssss,dd
97,ssssssss,ddssssssS,S,S,sssssss,dd
98,ssssssssss,dddsSssssssssssssssssssssssssssssssssS,S,dddSdddSdddd,ssssss,dd
99,ssssssssss,dddsSssssssss,sssssssssss,dddSdddSdddd,S,S
100,ssssss,ddsSddssssS,sssssss,dddSdddSdddd,sssssss,S
101,ssssss,ddsSddssssS,sssssssssss,S,sssssss,dd
102,ssssssssssssss,dddsSddssssS,sssssss,dddSdddSdddd,ssssssss,dd
103,ssssssssssssssSsssssssssssS,dddsSddssssS,sssssssssss,dddSdddSdddd,ssssssssSsssS,dd
104,ssssssssss,dddsSddssssS,sssssss,S,ssssss,S
105,ssssssssss,dddsSddssssS,S,dddSdddSdddd,sssssss,dd
106,sssssssss,ddsSddssssS,sssssss,dddSdddSdddd,sssssssssssss,S
107,sssssssss,ddsSddssssS,sssssssssss,dddSdddSdddd,S,S
108,ssssss,ddsssSsssdssssS,sssssss,dddSdddSdddd,sssssss,S
109,ssssss,ddsssSs,sssssssssss,dddSdddSdddd,sssssss,S
110,sssssssssss,ddssssssssssssssss,sssssss,S,ssdddSdddSddddssssssss,dd
111,sssssssssss,ddssssssssssssssss,sssssssssss,dddSdddSdddd,ssssssssSsssS,S
112,sssssssss,dsssssssSssssssssssssss,ssssssss,dddSdddSdddd,ssssssss,dd
113,sssssssss,dsssssssS,ssssssss,dddSdddSdddd,ssssssssSsssS,dd
114,sssssssssss,dddssssssssssss,S,dddSdddSdddd,sssssss,dd
115,sssssssssss,dddssssssssssssS,S,dddSdddSdddd,S,dd
116,ssssssssssssssss,ddddsssssSssddssssS,sssssss,dddSdddSdddd,S,dd
117,ssssssssssssssss,dddsssssssssS,sssssssssss,S,sssss,S
118,ssssss,ddsSddssssS,S,dddSdddSdddd,sssss,dd
119,ssssss,ddsSddssssS,S,dddSdddSdddd,ssssssss,dd
120,sssssssssss,ddsSddssssS,sssssss,S,sssss,dd
121,sssssssssssss,dddsSddssssS,S,S,sssssss,S
122,sssssssssssss,dddddsssssSssddssssS,sssssss,S,ssssssss,dd
123,sssssssssssss,ddddssssssssS,S,dddSdddSdddd,ssssssssSsssS,S
124,sssssSsssssssss,dddsSddssssS,sssssss,dddSdddSdddd,ssssssss,dd
125,sssssSsssssssss,dddssssssssS,S,dddSdddSdddd,sssssssssss,dd
126,ssssssssssssssss,sssssssssssssssddssssS,sssssss,dddSdddSdddd,S,dd
127,ssssssssssssssss,sssssssssssssss,sssssssssss,S,ssssssssSsssS,S
128,sssssssssSs,ddddsssssSsssssssddsssssddsssssS,sssssss,dddSdddSdddd,sssssssssssss,dd
129,sssssssssSs,dddssssssssS,S,dddSdddSdddd,S,dd
130,sssssssssssssss,ddsSddssssS,sssssss,S,S,S
131,sssssssssssssss,ddsSddssssS,sssssssssss,dddSdddSdddd,ssssssssSsssS,dd
132,ssssssSs,dddsSddssssS,S,S,ssssssss,dd
133,ssssssSssssssss,dddsSddssssS,sssssssssss,dddSdddSdddd,sss,dd
134,ssssSs,ddddssssssssssssSs,ssssssss,dddSdddSdddd,sssss,dd
135,ssssSs,ddddssssssssssssSsS,ssssssss,dddSdddSdddd,sssssss,dd
136,ssssssssss,ddddssssssssssssSs,S,S,ssssssssssss,dd
137,ssssssssssSssssssssS,ddddssssssssssssSsS,ssssssss,dddSdddSdddd,S,dd
138,ssssssssssss,ddddsSssssssssssS,ssssssss,dddSdddSdddd,sssssssssss,dd
139,ssssssssssssssssss,ddddssssssssssS,ssssssss,S,S,dd
140,sssssssssss,ddddssssssssssssSs,S,dddSdddSdddd,S,dd
141,sssssssssss,ddddssssssssssssSsS,ssssssss,dddSdddSdddd,S,dd
142,ssssssssssssssssss,dddsSsssssssssS,S,dddSdddSdddd,sssssss,dd
143,sssssssssssssssss,dddsSsssssssssS,S,dddSdddSdddd,ssssssssss,S
144,ssssssssss,ddddssssssssssssSs,ssssssss,dddSdddSdddd,sssssssssss,S
145,sssssssssssss,ddddssssssssssssSsS,ssssssss,S,sssssssssss,S
146,sssssssss,ddddsSssssssssssS,S,dddSdddSdddd,S,dd
147,ssssssssssss,ddddsSssssssssssS,ssssssss,S,sssssssssss,dd
148,sssssss,ddddsssssssssssSsssssssssssssssssssssssssssss,S,dddSdddSdddd,sssssss,S
149,sssssss,ddddsssssssssssSss,S,dddSdddSdddd,sssssss,S
150,sssssssssss,ddddssssssssssSsssssssssssssssS,S,dddSdddSdddd,sssssssssssss,dd
151,sssssssssss,ddddssssssssssS,sssssss,dddSdddSdddd,sssssssssss,dd
152,ssssSs,ddddssssssssssss,S,dddSdddSdddd,ssssssss,dd
153,ssssSsssssssssss,ddddssssssssssSss,S,dddSdddSdddd,S,S
154,sssssssssssssss,ddddsssssssssssSsssssssssssssssssssssssssssssss,sssssss,dddSdddSdddd,ssssss,dd
155,sssssssssssssss,ddddsssssssssssS,sssssss,S,ssssssssssss,dd
156,sssssssssssss,ddddssssssssssss,S,S,ssssssss,dd
157,sssssssssssss,ddddssssssssssS,sssssss,S,ssssssssSsssS,dd
158,ssssssssss,ddddsssssssssssS,S,dddSdddSdddd,ssssss,S
159,ssssssssssssssssssss,ddddsssssssssssS,sssssss,dddSdddSdddd,S,dd
160,sssssssssss,dssssssssssssssssssS,sssssss,S,ssssssss,dd
161,sssssssssss,dssssssssssssssssssS,sssssss,S,S,dd
162,sssssssssssss,ddddsssssssssssSsssssssssssssssssssssssssssss,S,dddSdddSdddd,ssssssss,dd
163,sssssssssssss,ddddsssssssssssS,sssssss,dddSdddSdddd,S,dd
164,sssssssssssssssssss,dddsSssssssssssssS,sssssss,S,sssssssssssss,dd
165,ssssssssssssssssssssss,dddsSssssssssssssSss,S,dddSdddSdddd,sssssssssss,dd
166,ssssssssssss,dddsssssssssssSsssssssssssssss,S,dddSdddSdddd,sssss,dd
167,ssssssssssss,dddsssssssssssS,sssssss,dddSdddSdddd,ssssss,dd
168,ssssssssssssssssss,ddddsSsssssssssssS,sssssss,dddSdddSdddd,sssssssss,dd
169,ssssssssssssssssss,ddddsSsssssssssssS,sssssss,dddSdddSdddd,ssssssss,dd
170,ssssssss,ddddsssssssssssSsssssssssssssssssssssssss,sssssss,dddSdddSdddd,S,dd
171,ssssssss,ddddsssssssssssSss,sssssss,dddSdddSdddd,S,dd
172,sssssssSssssssss,dddssssssssssssssS,S,S,ssssssss,dd
173,sssssssSssssssss,dddssssssssssssssS,S,S,ssssssssSssss,S
