RowId,Source,Flight,ScheduledDeparture,ActualDeparture,DepartureGate,ScheduledArrival,ActualArrival,ArrivalGate
0,2,15,18,18,3,18,18,2
1,15,15,,24,,,24,
2,10,15,,24,,,24,
3,11,15,,24,,,24,
4,9,15,,24,,,24,
5,7,15,,19,2,,19,2
6,19,15,,19,2,,19,2
7,13,15,,19,2,,19,2
8,11,15,18,18,,18,18,
9,9,15,18,18,,18,18,
10,10,15,,13,,,13,
11,6,15,,13,,,13,
12,5,15,,13,,,13,
13,11,15,,13,,,13,
14,12,15,,13,,,13,
15,6,15,,13,,,13,
16,11,15,15,24,23,15,24,23
17,6,15,10,10,,10,10,
18,7,15,19,,,19,,
19,8,15,,13,,,13,
20,2,15,18,18,3,18,18,
21,14,15,,20,,,20,
22,15,15,,24,,,24,
23,10,15,,24,,,24,
24,11,15,,24,,,24,
25,9,15,,24,,,24,
26,11,15,22,22,3,22,22,
27,12,15,22,22,3,22,22,
28,7,15,,19,2,,19,
29,19,15,,19,2,,19,
30,13,15,,19,2,,19,
31,11,15,18,18,,18,18,
32,9,15,18,18,,18,18,
33,10,15,,13,,,13,
34,6,15,,13,,,13,
35,5,15,,13,,,13,
36,11,15,,13,,,13,
37,12,15,,13,,,13,
38,6,15,,13,,,13,
39,11,15,22,15,3,22,15,3
40,6,15,10,,,10,,
41,7,15,19,,,19,,
42,4,15,18,18,,18,18,
43,8,15,19,,,19,,
44,13,15,10,,,10,,
45,10,15,22,22,3,22,22,
46,13,15,19,,,19,,
47,2,14,19,,3,19,,1
48,14,14,20,,,20,,
49,15,14,,24,,,24,
50,10,14,,24,,,24,
51,11,14,,24,,,24,
52,9,14,,24,,,24,
53,11,14,22,22,3,22,22,1
54,12,14,22,22,3,22,22,1
55,7,14,25,,3,25,,1
56,19,14,25,,3,25,,1
57,13,14,25,,3,25,,1
58,,14,18,37,,18,37,
59,10,14,15,,3,15,,14
60,6,14,15,,3,15,,14
61,5,14,15,,,15,,
62,11,14,15,,3,15,,14
63,12,14,15,,3,15,,14
64,6,14,15,13,,15,13,
65,11,14,15,22,6,15,22,1
66,6,14,10,,3,10,,1
67,7,14,19,,,19,,
68,13,14,15,22,6,15,22,1
69,2,14,19,38,2,18,18,3
70,2,14,19,38,2,18,18,3
71,2,14,19,38,2,18,18,3
72,2,14,19,38,2,18,18,3
73,14,14,,21,,,20,
74,14,14,,21,,,20,
75,14,14,,21,,,20,
76,14,14,,21,,,20,
77,15,14,,25,,,24,
78,15,14,,25,,,24,
79,15,14,,25,,,24,
80,15,14,,25,,,24,
81,10,14,,25,,,24,
82,10,14,,25,,,24,
83,10,14,,25,,,24,
84,10,14,,25,,,24,
85,11,14,,25,,,24,
86,11,14,,25,,,24,
87,11,14,,25,,,24,
88,11,14,,25,,,24,
89,9,14,,25,,,24,
90,9,14,,25,,,24,
91,9,14,,25,,,24,
92,9,14,,25,,,24,
93,11,14,22,22,2,22,22,3
94,11,14,22,22,2,22,22,3
95,11,14,22,22,2,22,22,3
96,11,14,22,22,2,22,22,3
97,12,14,22,22,2,22,22,3
98,12,14,22,22,2,22,22,3
99,12,14,22,22,2,22,22,3
100,12,14,22,22,2,22,22,3
101,7,14,,19,2,,19,3
102,7,14,,19,2,,19,3
103,7,14,,19,2,,19,3
104,7,14,,19,2,,19,3
105,19,14,,19,2,,19,3
106,19,14,,19,2,,19,3
107,19,14,,19,2,,19,3
108,19,14,,19,2,,19,3
109,13,14,,19,2,,19,3
110,13,14,,19,2,,19,3
111,13,14,,19,2,,19,3
112,13,14,,19,2,,19,3
113,11,14,19,19,,18,18,
114,11,14,19,19,,18,18,
115,9,14,19,19,,18,18,
116,9,14,19,19,,18,18,
117,10,14,,14,,,13,
118,10,14,,14,,,13,
119,10,14,,14,,,13,
120,10,14,,14,,,13,
121,6,14,,14,,,13,
122,6,14,,14,,,13,
123,6,14,,14,,,13,
124,6,14,,14,,,13,
125,5,14,,14,,,13,
126,5,14,,14,,,13,
127,5,14,,14,,,13,
128,5,14,,14,,,13,
129,11,14,,14,,,13,
130,11,14,,14,,,13,
131,11,14,,14,,,13,
132,11,14,,14,,,13,
133,12,14,,14,,,13,
134,12,14,,14,,,13,
135,12,14,,14,,,13,
136,12,14,,14,,,13,
137,6,14,,14,,,13,
138,6,14,,14,,,13,
139,6,14,,14,,,13,
140,6,14,,14,,,13,
141,6,14,11,11,2,10,10,3
142,6,14,11,11,2,10,10,3
143,6,14,11,11,2,10,,3
144,6,14,11,11,2,10,,3
145,3,14,16,16,,,,
146,3,14,16,16,,,,
147,8,14,,14,,,13,
148,8,14,,14,,,13,
149,13,14,11,11,2,10,,3
150,13,14,11,11,2,10,,3
151,13,14,,14,,,13,
152,13,14,,14,,,13,
153,2,15,19,19,2,19,,3
154,15,15,,24,,,24,
155,10,15,,24,,,24,
156,11,15,,24,,,24,
157,9,15,,24,,,24,
158,11,15,22,22,2,22,22,3
159,12,15,22,22,2,22,22,3
160,7,15,,19,2,,19,2
161,19,15,,19,2,,19,2
162,13,15,,19,2,,19,2
163,11,15,18,18,,18,30,
164,9,15,18,18,,18,30,
165,10,15,,13,,,13,
166,6,15,,13,,,13,
167,5,15,,13,,,13,
168,11,15,,13,,,13,
169,12,15,,13,,,13,
170,6,15,,13,,,13,
171,11,15,15,15,2,15,16,6
172,6,15,10,10,2,10,,3
173,7,15,19,,,19,,
174,4,15,18,18,,18,30,
175,13,15,10,10,2,10,,3
176,13,15,18,18,,18,30,
