id,DBN,SchoolName,AP Test Takers ,Total Exams Taken,Number of Exams with scores 3 4 or 5
0,6,28,2,2,2
1,6,22,2,2,
2,6,19,2,2,2
3,6,30,3,3,3
4,6,37,,,
5,6,16,2,2,
6,6,49,2,3,2
7,6,26,2,2,
8,6,49,2,2,2
9,6,28,,,
10,6,28,3,3,3
11,6,28,2,2,2
12,6,24,2,3,2
13,6,28,3,3,2
14,6,20,2,2,
15,6,17,,,
16,6,29,3,3,3
17,6,22,2,2,2
18,6,24,3,3,2
19,6,27,2,2,2
20,6,13,2,2,
21,6,28,2,2,2
22,6,17,1,1,
23,6,27,2,2,1
24,6,20,2,2,2
25,6,13,4,4,4
26,6,25,3,3,2
27,6,16,2,2,2
28,6,20,3,3,2
29,6,24,2,3,2
30,6,29,2,3,2
31,6,47,2,2,2
32,6,18,1,1,
33,6,25,2,3,2
34,6,24,2,3,2
35,6,25,2,2,2
36,6,11,2,2,2
37,6,18,2,2,2
38,6,28,2,2,1
39,6,20,2,3,2
40,6,28,2,2,2
41,6,25,2,2,
42,6,20,2,2,1
43,6,13,3,3,3
44,6,23,3,4,3
45,6,26,2,2,1
46,6,29,2,2,
47,6,29,2,2,
48,6,29,3,3,3
49,6,14,,,
50,6,22,,,
51,6,50,2,2,2
52,6,28,,,
53,6,21,2,2,
54,6,49,2,2,
55,6,23,1,1,
56,6,28,3,3,3
57,6,25,2,2,
58,6,47,3,3,2
59,6,29,3,3,2
60,6,27,2,2,
61,6,25,3,3,2
62,6,29,2,2,2
63,6,24,3,3,2
64,6,30,2,3,2
65,6,47,2,2,2
66,6,23,2,3,2
67,6,29,2,2,2
68,6,39,2,2,
69,6,25,2,2,
70,6,43,,,
71,6,24,2,2,2
72,6,19,2,2,
73,6,18,2,3,
74,6,28,2,3,2
75,6,29,2,2,
76,6,50,2,2,2
77,6,50,,,
78,6,50,,,
79,6,22,2,2,
80,6,47,2,2,
81,6,17,3,3,3
82,6,42,1,1,
83,6,15,2,2,1
84,6,27,2,2,2
85,6,50,1,1,
86,6,17,3,3,2
87,6,50,2,2,
88,6,50,2,3,2
89,6,40,2,2,2
90,6,50,1,1,
91,6,20,2,2,1
92,6,28,2,2,
93,6,35,2,2,2
94,6,29,2,2,1
95,6,29,2,2,
96,6,29,2,2,2
97,6,30,2,2,
98,6,27,2,2,1
99,6,30,3,3,3
100,6,40,3,3,2
101,6,38,2,2,
102,6,49,2,2,
103,6,33,2,2,2
104,6,37,2,2,
105,6,31,2,2,
106,6,37,2,2,2
107,6,29,2,2,2
108,6,29,2,2,2
109,6,29,2,2,2
110,6,23,,,
111,6,30,2,2,2
112,6,30,2,2,1
113,6,17,3,3,3
114,6,42,2,2,1
115,6,19,4,4,4
116,6,17,2,2,2
117,6,30,2,3,2
118,6,25,2,2,
119,6,21,,,
120,6,49,3,3,3
121,6,33,,,
122,6,50,2,2,
123,6,50,2,2,
124,6,39,,,
125,6,41,2,3,2
126,6,24,2,2,2
127,6,23,2,2,1
128,6,28,2,2,1
129,6,21,2,2,
130,6,26,2,2,2
131,6,29,2,2,
132,6,11,,,
133,6,33,2,2,
134,6,27,1,1,
135,6,27,,,
136,6,13,2,2,
137,6,29,1,1,
138,6,48,2,2,
139,6,50,2,2,
140,6,21,2,2,
141,6,21,4,4,4
142,6,46,2,2,2
143,6,27,2,2,
144,6,20,2,2,
145,6,27,2,2,2
146,6,19,2,2,
147,6,25,3,3,2
148,6,25,2,2,2
149,6,19,2,2,
150,6,20,2,2,
151,6,28,2,2,
152,6,25,2,3,2
153,6,32,2,2,1
154,6,50,2,2,
155,6,31,2,2,
156,6,17,,,
157,6,31,2,2,
158,6,28,2,2,
159,6,30,2,2,
160,6,26,2,2,
161,6,26,,,
162,6,17,2,2,
163,6,36,2,2,
164,6,50,2,2,1
165,6,39,2,2,
166,6,50,2,2,
167,6,50,3,3,2
168,6,48,2,2,
169,6,35,2,2,1
170,6,29,3,3,2
171,6,16,3,3,2
172,6,15,2,2,
173,6,19,,,
174,6,11,2,2,
175,6,28,,,
176,6,27,2,2,
177,6,28,2,2,
178,6,42,,,
179,6,50,2,2,
180,6,25,2,2,2
181,6,19,3,3,2
182,6,43,2,2,2
183,6,16,2,2,
184,6,14,3,3,2
185,6,24,3,3,3
186,6,16,3,3,3
187,6,17,3,3,3
188,6,45,2,2,
189,6,32,2,2,
190,6,12,,,
191,6,18,3,3,2
192,6,18,3,3,3
193,6,15,3,3,3
194,6,22,2,2,2
195,6,10,3,4,3
196,6,16,3,3,3
197,6,17,2,2,2
198,6,26,3,3,3
199,6,43,2,2,
200,6,42,2,2,
201,6,27,2,2,
202,6,34,2,3,2
203,6,36,2,2,
204,6,10,3,3,3
205,6,19,3,3,3
206,6,31,3,3,2
207,6,10,2,2,2
208,6,32,3,3,2
209,6,50,2,2,2
210,6,13,3,3,3
211,6,11,3,3,3
212,6,18,3,3,3
213,6,29,2,3,2
214,6,19,3,4,3
215,6,16,3,4,3
216,6,19,2,3,2
217,6,10,3,3,3
218,6,50,,,
219,6,32,2,2,2
220,6,17,2,3,2
221,6,16,2,2,
222,6,16,3,3,2
223,6,13,3,3,2
224,6,50,2,3,2
225,6,15,3,4,3
226,6,10,2,2,1
227,6,12,3,3,2
228,6,17,3,3,3
229,6,26,2,3,2
230,6,35,3,3,3
231,6,49,2,2,
232,6,40,1,1,
233,6,26,2,2,
234,6,50,2,2,
235,6,50,2,2,
236,6,31,2,2,
237,6,22,,,
238,6,30,2,2,1
239,6,30,,,
240,6,19,3,3,2
241,6,19,3,3,3
242,6,25,3,3,2
243,6,25,2,2,2
244,6,26,3,3,3
245,6,27,3,3,3
246,6,26,3,3,2
247,6,11,2,3,2
248,6,16,3,3,2
249,6,9,3,3,2
250,6,14,3,3,3
251,6,18,3,3,3
252,6,15,,,
253,6,26,3,3,3
254,6,29,2,2,2
255,6,25,2,3,2
256,6,36,1,1,
257,6,50,2,2,2
