id,name,addr,city,phone,type,class
0,25,22,11,12,,
1,25,23,,12,11,1
2,18,19,,12,8,1
3,10,19,11,,5,1
4,13,20,,12,11,
5,13,20,7,12,11,1
6,10,19,12,12,6,1
7,10,19,12,12,13,1
8,9,19,11,12,,1
9,9,19,11,12,11,
10,15,13,12,,6,1
11,15,13,,12,16,1
12,6,17,,,11,
13,6,17,11,12,11,1
14,5,22,,12,8,1
15,19,17,,12,,1
16,7,19,6,12,,
17,7,19,6,,,
18,18,15,,12,,1
19,10,15,13,,22,1
20,16,22,11,12,5,2
21,5,19,9,12,8,2
22,11,23,11,,,2
23,11,23,12,,16,2
24,13,17,,12,,2
25,27,17,11,12,13,2
26,14,7,11,12,,
27,14,17,11,,7,2
28,9,23,,12,5,2
29,9,23,,,7,
30,8,23,,12,8,2
31,23,23,12,12,11,2
32,6,17,,12,11,2
33,6,17,11,12,11,2
34,23,19,11,12,8,
35,21,19,9,12,10,2
36,12,19,,12,6,2
37,12,19,,12,,2
38,17,16,11,,7,2
39,17,16,,,,2
40,5,14,11,12,11,2
41,19,17,12,,11,
42,9,15,12,12,,2
43,9,15,12,,7,
44,37,18,,12,5,
45,13,18,8,12,7,2
46,7,14,8,,8,2
47,7,14,13,12,,2
48,7,14,8,,,2
49,7,14,13,12,,
50,7,14,8,,,
51,7,14,13,12,14,
52,9,15,8,12,,2
53,9,15,,12,12,2
54,17,13,,12,11,2
55,17,13,13,12,,2
56,9,41,8,12,,2
57,9,13,13,12,7,2
58,13,40,,12,12,
59,13,16,13,12,,2
60,11,31,8,12,,2
61,11,14,13,12,,2
62,6,14,8,12,,2
63,6,14,13,12,,
64,5,15,,12,5,2
65,5,15,13,,6,2
66,7,15,,12,7,
67,7,15,,,7,2
68,23,14,8,12,,2
69,12,14,,12,14,
70,18,14,8,12,8,
71,18,14,,,14,2
72,15,48,8,12,8,2
73,15,14,13,12,14,
74,12,15,8,,13,2
75,12,15,13,,,
76,5,15,8,12,,2
77,5,15,,12,13,
78,12,14,8,12,,
79,12,14,13,12,16,
80,14,40,,,6,2
81,14,14,13,12,16,
82,12,15,,12,,2
83,12,15,13,12,7,2
84,14,18,,12,,2
85,14,15,,,,
86,10,13,,12,8,2
87,26,13,,12,5,2
88,6,15,,,,
89,6,15,,12,16,2
90,20,14,8,,,
91,20,14,13,,7,
92,5,15,,12,8,
93,5,15,13,12,14,2
94,10,40,8,,8,
95,10,14,13,12,,2
96,9,27,,12,7,2
97,9,11,,,7,2
98,10,46,,13,6,2
99,10,15,13,12,,
100,6,14,8,12,7,
101,6,14,13,,7,2
102,16,15,8,12,8,2
103,32,15,13,12,14,2
104,10,15,8,,6,
105,10,15,,12,7,2
106,9,14,8,12,13,
107,9,14,13,12,,
108,6,20,8,12,7,
109,6,9,13,12,7,
110,12,20,8,,24,2
111,12,20,13,12,14,
112,10,29,8,12,8,2
113,10,11,8,12,14,2
114,12,18,,12,7,2
115,12,19,,12,,2
116,18,24,8,12,,2
117,18,15,13,,5,
118,6,14,,12,5,2
119,6,14,,12,8,2
120,13,14,8,,5,2
121,15,15,,,7,
122,16,25,8,,8,2
123,16,15,,12,14,
124,17,15,8,12,8,2
125,17,14,,12,11,2
126,19,27,8,12,,2
127,19,17,13,,14,
128,12,40,8,12,13,2
129,12,14,,12,,2
130,17,14,8,,,
131,17,14,13,12,14,2
132,8,15,,,8,2
133,17,15,13,12,3,2
134,6,22,9,12,5,2
135,6,23,9,12,7,2
136,11,22,,,12,2
137,23,23,9,12,,2
138,13,20,9,12,11,2
139,20,17,9,,,2
140,12,22,,12,,2
141,12,23,9,12,,2
142,20,18,,12,7,2
143,19,18,,12,11,
144,11,22,9,12,12,
145,16,23,9,,11,
146,9,20,,12,,2
147,14,20,9,,11,2
148,7,52,,12,7,
149,7,21,,12,7,
150,11,37,,12,13,2
151,11,17,7,12,11,2
152,6,18,,12,8,2
153,17,20,,12,,
154,17,57,7,12,6,2
155,17,18,7,,13,2
156,14,18,,,8,2
157,14,17,7,,14,2
158,10,18,,12,6,
159,21,18,7,12,,2
160,11,23,7,,8,2
161,11,23,7,,,2
162,14,52,,12,8,2
163,14,18,7,12,,2
164,21,22,7,,13,2
165,26,25,,12,11,2
166,14,36,,12,5,2
167,14,17,7,12,6,2
168,20,21,7,12,9,2
169,20,21,7,12,8,2
170,9,47,7,12,,2
171,9,21,7,12,,2
172,19,22,,,8,2
173,19,22,,,13,
174,14,32,7,12,11,
175,14,17,7,12,11,2
176,17,23,7,12,13,2
177,15,23,7,,14,
178,28,18,,12,22,
179,28,21,,12,14,
180,35,18,,12,13,
181,35,21,7,12,14,2
182,33,17,7,12,11,2
183,23,17,,12,16,2
184,8,15,7,12,,2
185,8,19,,12,,2
186,14,11,7,12,7,2
187,14,11,7,,,2
188,14,15,13,12,6,2
189,14,15,13,,12,2
190,4,18,13,,,
191,4,18,,,14,2
192,9,13,13,,8,2
193,9,13,13,12,,2
194,11,12,13,12,6,2
195,11,12,,,13,2
196,13,16,,12,8,2
197,13,16,13,12,,
198,11,14,13,12,6,2
199,11,19,13,,11,
200,12,14,13,,6,3
201,12,14,13,12,12,3
202,8,11,13,12,6,3
203,8,14,13,12,,3
204,14,16,13,,8,3
205,14,16,13,12,11,
206,20,16,,12,5,
207,20,16,,12,4,
208,8,13,13,,6,
209,8,13,,12,12,3
210,4,14,13,12,13,3
211,24,14,13,,13,
212,6,12,13,12,6,3
213,6,12,13,,12,3
214,38,13,13,,,3
215,6,13,,12,8,3
216,14,17,13,12,13,3
217,14,17,13,12,14,3
218,7,12,,12,8,3
219,7,12,,,11,3
220,39,16,13,12,,
221,40,16,13,,12,3
222,12,17,13,12,7,3
223,12,17,13,12,7,
224,20,24,11,12,7,3
225,17,19,13,12,8,3
226,10,24,6,,6,3
227,13,16,11,12,11,3
228,12,7,,12,7,3
229,13,17,12,12,8,3
230,7,19,11,12,7,
231,10,19,11,12,,
232,10,16,,12,,3
233,24,18,,12,,3
234,8,19,,13,8,3
235,4,7,11,,,3
236,11,18,11,12,,
237,9,22,11,12,,3
238,15,21,11,12,11,
239,11,19,,12,,3
240,5,24,,8,13,3
241,5,19,12,,,3
242,6,23,11,,6,3
243,12,16,11,,11,
244,7,17,,,,
245,12,17,,,,3
246,8,20,11,12,,
247,11,13,12,12,8,3
248,11,47,17,12,,
249,14,18,,12,8,3
250,28,22,11,12,7,
251,26,18,11,12,7,3
252,18,19,11,12,11,
253,14,20,11,12,,3
254,7,14,11,,11,3
255,4,17,11,,5,3
256,11,18,,12,,3
257,7,17,,12,6,3
258,18,20,11,12,,3
259,26,17,11,,5,3
