RowId,Source,Flight,ScheduledDeparture,ActualDeparture,DepartureGate,ScheduledArrival,ActualArrival,ArrivalGate
1,sssssssssss,ssSddddSsssSsss,dSddssSsssdd,dSddssSsssdd,sdd,dSddssSsssdd,dSddssSsssdd,sdd
2,ssssss,ssSdddSsssSsss,ddddSddSdddSddss,ddddSddSddddSddss,dd,ddddSddSdddSddss,ddddSddSddddSddss,dd
3,ssssssssss,ssSddSsssSsss,ddddSddSddddSddss,ddddSddSdddSddss,sd,ddddSddSddddSddss,dSddsssssdd,sd
4,sssssssssssss,ssSdSsssSsss,ddddSddSddddSddsssss,dSddsssssdd,d,ddddSddSddddSddsssss,ddddSddSdddSddss,dds
5,sssssssss,,ddSddsssssddSsssSdddd,ddddSddSddddSddsssss,dds,ddSddsssssddSsssSdddd,ddddSddSddddSddsssss,d
6,sssssss,,ddSddssSsssdd,ddSddSdddSddssSSddSddS,ssssssssd,ddSddssSsssdd,ddSddSdddSddssSSddSddS,S
7,ssssssssssss,,dSddssssdd,ddSddsssssddSsssSdddd,ssssssssdSdd,dSddssssdd,ddSddsssssddSsssSdddd,ssssssssd
8,sssssssssssssss,,ddSddSdddSddssSSddSddS,ddSddssSsssdd,S,sssddSdSddss,ddSddssSsssdd,sssssssssSsdd
9,sssss,,sssddSdSddss,ddSddsssssdd,sds,ddSddSdddSddssSSddSddS,ddSdSdddSddssSSddSddS,ssssssssdSdds
10,ss,,dSddssssd,ddSdSdddSddssSSddSddS,ddd,dSddssssd,dSddssssdd,ssssssssdSdd
11,sssssssssssssssssss,,ssssssssddSddddddSddss,dSddssssdd,ssssssssssssssssssss,ssssssssddSddddddSddss,ddSddSddddSddssSSddSddS,sds
12,ssssssssssssss,,ddSddssssdd,ddSddSddddSddssSSddSddS,sdds,ddSddssssdd,ddSddsssssdd,sdds
13,sssssSssssssSsssssss,,ddSdSdddSddssSSddSddS,sssddSdSddss,ssssssssdSd,dSddsssssdd,sssddSdSddss,ssssssssssssssssssss
14,ssssssss,,sssSsssdddSddss,dSddssssd,ssssssssdSdds,sssddSddSddss,dSddssssd,sssssssss
15,sss,,sssddSddSddss,ssssssssddSddddddSddss,sssssssssSsdd,ddSddSddddSddssSSddSddS,ddSddSdddddSddsssss,sss
