id,DBN,SchoolName,AP Test Takers ,Total Exams Taken,Number of Exams with scores 3 4 or 5
1,ddsddd,ssssssssssssss,dd,dd,dd
2,,sssssssssssssssssssssss,ddd,ddd,ddd
3,,ssssssssssssssssssssssss,d,d,d
4,,sssssssssssssssssssssssss,dddd,dddd,dddd
5,,ssssssssssssssss,,,
6,,ssssssssssssssssssssss,,,
7,,sssssssssssssss,,,
8,,ssssssssssssssssssssssssss,,,
9,,sssssssssssss,,,
10,,sssssssssssssssssss,,,
11,,sssssssssssssssssssssssssssssssssssssssssss,,,
12,,sssssssss,,,
13,,ssssssssssssssssss,,,
14,,ssssssssssssssssssssssssssss,,,
15,,ssssssssssss,,,
