id,name,addr,city,phone,type,class
1,sssssssssss,ddds.ddssss.,S,dddSdddSdddd,S,ddd
2,sssssssss,dds.ddssss.,sssssss,S,ssssssss,S
3,ssssssss,ddddssssssssss.,ssssssssssss,dddSdddSdddd.,sssssss,dd
4,ssssssssss,dddssssssss.,sssssssssss,dddSdddS,sssss,d
5,sssssssssssss,ddddsssssssssss.,ssssssss,dddSdddSSdddd,sssssssssss,
6,sssssss,ddddsssssssss.,ssssssssss,,ssssss,
7,ssssss,ddddssssssss.,ssssss,,sssssssssssss,
8,ssssssssssss,ddds.sssssssss.,ss,,sssssssss,
9,sssss,dddsssssssss.,s.sssssssss,,ssssssssss,
10,sssssssssssssss,ddddssssssssssss.,sssssssss,,ssssssssSsssS,
11,ssss,ddddssssss.,ssssssssssssssss,,ssssssssssss,
12,ssssssssssssss,ddddssssssssssss.s.,ss.ssssssss.,,ssss,
13,ssssssssssssssssss,ddddssssssssssss.s,sssssssssssssss,,ssssssSsssS,
14,ssssssssssssssss,dddsssssssssss.,ss.ssssssssssss,,sssssssssssSssssss,
15,sssssssssSs,dddssssssssssss.,ssssssssssssss,,ssssssssSssss,
