id,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O
0,dd, Ullll-lll,ddddd, Ullllllll,dd, Ullll-lllllll, Ull-llllllll, Ull-ll-llllll, Ullll, Ulll,dddd,d,dd, Ulllll-Ulllll, <=ddU
1,dd, Ulll-lll-lll-lll,ddddd, Ullllllll,dd, Ullllll-lll-llllll, Ulll-llllllllll, Ullllll, Ullll, Ulll,d,d,dd, Ulllll-Ulllll, <=ddU
2,dd, Ullllll,dddddd, UU-llll,d, Ulllllll, Ulllllll-llllllll, Ull-ll-llllll, Ullll, Ulll,d,d,dd, Ulllll-Ulllll, <=ddU
3,dd, Ullllll,dddddd, ddll,d, Ullllll-lll-llllll, Ulllllll-llllllll, Ullllll, Ullll, Ulll,d,d,dd, Ulllll-Ulllll, <=ddU
4,dd, Ullllll,dddddd, Ullllllll,dd, Ullllll-lll-llllll, Ulll-lllllllll, Ulll, Ullll, Ulllll,d,d,dd, Ulll, <=ddU
5,dd, Ullllll,dddddd, Ullllll,dd, Ullllll-lll-llllll, Ulll-llllllllll, Ulll, Ullll, Ulllll,d,d,dd, Ulllll-Ulllll, <=ddU
6,dd, Ullllll,dddddd, dll,d, Ullllll-llllll-llllll, Ullll-lllllll, Ull-ll-llllll, Ullll, Ulllll,d,d,dd, Ullllll, <=ddU
7,dd, Ulll-lll-lll-lll,dddddd, UU-llll,d, Ullllll-lll-llllll, Ulll-llllllllll, Ullllll, Ullll, Ulll,d,d,dd, Ulllll-Ulllll, >ddU
8,dd, Ullllll,ddddd, Ullllll,dd, Ullll-lllllll, Ulll-lllllllll, Ull-ll-llllll, Ullll, Ulllll,ddddd,d,dd, Ulllll-Ulllll, >ddU
9,dd, Ullllll,dddddd, Ullllllll,dd, Ullllll-lll-llllll, Ulll-llllllllll, Ullllll, Ullll, Ulll,dddd,d,dd, Ulllll-Ulllll, >ddU
10,dd, Ullllll,dddddd, Ulll-lllllll,dd, Ullllll-lll-llllll, Ulll-llllllllll, Ullllll, Ullll, Ulll,d,d,dd, Ulllll-Ulllll, >ddU
11,dd, Ullll-lll,dddddd, Ullllllll,dd, Ullllll-lll-llllll, Ulll-lllllllll, Ullllll, Ullll-Ull-Ulllllll, Ulll,d,d,dd, Ullll, >ddU
12,dd, Ullllll,dddddd, Ullllllll,dd, Ullll-lllllll, Ull-llllllll, Ull-lllll, Ullll, Ulllll,d,d,dd, Ulllll-Ulllll, <=ddU
13,dd, Ullllll,dddddd, Ullll-llll,dd, Ullll-lllllll, Ullll, Ull-ll-llllll, Ullll, Ulll,d,d,dd, Ulllll-Ulllll, <=ddU
14,dd, Ullllll,dddddd, Ullll-lll,dd, Ullllll-lll-llllll, Ullll-llllll, Ullllll, Ullll-Ull-Ulllllll, Ulll,d,d,dd, ?, >ddU
15,dd, Ullllll,dddddd, dll-dll,d, Ullllll-lll-llllll, Ullllllll-llllll, Ullllll, Ulll-Ulllll-Ulllll, Ulll,d,d,dd, Ulllll, <=ddU
16,dd, Ulll-lll-lll-lll,dddddd, UU-llll,d, Ullll-lllllll, Ullllll-lllllll, Ull-lllll, Ullll, Ulll,d,d,dd, Ulllll-Ulllll, <=ddU
17,dd, Ullllll,dddddd, UU-llll,d, Ullll-lllllll, Ullllll-ll-llllll, Ullllllll, Ullll, Ulll,d,d,dd, Ulllll-Ulllll, <=ddU
18,dd, Ullllll,ddddd, ddll,d, Ullllll-lll-llllll, Ullll, Ullllll, Ullll, Ulll,d,d,dd, Ulllll-Ulllll, <=ddU
19,dd, Ulll-lll-lll-lll,dddddd, Ullllll,dd, Ulllllll, Ulll-llllllllll, Ullllllll, Ullll, Ulllll,d,d,dd, Ulllll-Ulllll, >ddU
20,dd, Ullllll,dddddd, Ullllllll,dd, Ullllll-lll-llllll, Ulll-lllllllll, Ullllll, Ullll, Ulll,d,d,dd, Ulllll-Ulllll, >ddU
21,dd, Ullllll,dddddd, UU-llll,d, Ullllllll, Ullll-lllllll, Ullllllll, Ullll, Ulllll,d,d,dd, Ulllll-Ulllll, <=ddU
