id,DBN,SchoolName,AP Test Takers ,Total Exams Taken,Number of Exams with scores 3 4 or 5
0,ddUddd,UUUUUUUUUU UUUUUUUUUUUU U.U.,dd,dd,dd
1,ddUddd,UUUU UUUU UUUUUUUUU UU,dd,dd,l
2,ddUddd,UUUUU UUUUUUUU UUUU,dd,dd,dd
3,ddUddd,"UUU UUUUUUUUUUUU UUU,UUUU,UUUU",ddd,ddd,ddd
4,ddUddd,Ulll Ulllll ll Ullllllllll Ulllllllll,l,l,l
5,ddUddd,Ulll Ulll Ulllll,dd,dd,l
6,ddUddd,"Ullll Ulllllll Ulllll ll Ulllll lll Ulllllllllll,",dd,ddd,dd
7,ddUddd,"Ulllll Ullllll Ulllll, Ull",dd,dd,l
8,ddUddd,"Ullll Ulllllll Ullllll ll Ulllllllll lll Ull, Ull",dd,dd,dd
9,ddUddd,Ullll Ullllllll Ulll Ullllll,l,l,l
10,ddUddd,UU UUU UUUUUUUUUUUUU UUUUUUU,ddd,ddd,ddd
11,ddUddd,UUUUUUUUUUUU UUUUUUUUUU UUUU,dd,dd,dd
12,ddUddd,UUUUUU UUUUUUU UUUUUU UU,dd,ddd,dd
13,ddUddd,UUU UUU UU UUU UUUU. UUUUUUU,ddd,ddd,dd
14,ddUddd,UUUUUU UU UUU UUUUUU,dd,dd,l
15,ddUddd,UUU UUUUUU UUUUUU,l,l,l
16,ddUddd,Ullllll Ullllllll Ulll Ulllll,ddd,ddd,ddd
17,ddUddd,Ulllllllll Ulll Ulllll,dd,dd,dd
18,ddUddd,UUUUUU UUUU & UUUUU UUUU,ddd,ddd,dd
19,ddUddd,U U UUU UUUUUUUUUU & UUUUUU,dd,dd,dd
20,ddUddd,UUUUUU UUUUUU,dd,dd,l
21,ddUddd,UUUUUUUUU UUUUUUU UUUUUUU UU,dd,dd,dd
22,ddUddd,UU UUU UUUUUUUUUU,d,d,l
23,ddUddd,UUU-UUUUUUUUU UUUUUUUUUUUUU,dd,dd,d
24,ddUddd,UUUUUUUUUU UUUUUU UU,dd,dd,dd
25,ddUddd,UUUUUUUUUU UU,dddd,dddd,dddd
26,ddUddd,UU UU UUUUUUUUU & UUUUUUU,ddd,ddd,dd
27,ddUddd,UUUUUU UUUUUUUUU,dd,dd,dd
28,ddUddd,UUUUU UUUUUUUUU U.U.,ddd,ddd,dd
29,ddUddd,UUUUUUUUUU U. UUUUUUU UU,dd,ddd,dd
30,ddUddd,Ullllllll Ullllll Ulll Ulllll,dd,ddd,dd
31,ddUddd,Ulll Ulllll lll Ulll Ulllllll lll Ullll Ullllll,dd,dd,dd
32,ddUddd,UUUUUU UUUU UUUUUU,d,d,l
33,ddUddd,UUUUUUUUU UUUU.UUUUU U.U.,dd,ddd,dd
34,ddUddd,U.U.UUUUU UU UU UUUUUUUU,dd,ddd,dd
35,ddUddd,UU UUU UUUUUUU UUUUUUUUUU,dd,dd,dd
36,ddUddd,UUUUUUU UUU,dd,dd,dd
37,ddUddd,UUUUUU UUUUUU U.U.,dd,dd,dd
38,ddUddd,UU UUUUUUUUUUUUU UUUUUUU UUU,dd,dd,d
39,ddUddd,UU UU UUU UUU UUUUUU,dd,ddd,dd
40,ddUddd,UUUU UUUUUUUU UUUUUUUUU UUUU,dd,dd,dd
41,ddUddd,UUUUUUUU UUUU UUUU UUUUUU,dd,dd,l
42,ddUddd,UUUUU U. UUUUUUUU UU,dd,dd,d
43,ddUddd,UUUUUU UUUUUU,ddd,ddd,ddd
44,ddUddd,UUUUUUUU U.UUUUUUUUU UU,ddd,dddd,ddd
45,ddUddd,"UUU, UU UU UUU UUUU & UUUU",dd,dd,d
46,ddUddd,UUUUUUUUU UUUUUUUU UUUUUUU UU,dd,dd,l
47,ddUddd,UUUUUUUUU UUUU UUU UUUUUU UUU,dd,dd,l
48,ddUddd,UUUUUUUUU UUUUUU-UUUUUUU&UUUU,ddd,ddd,ddd
49,ddUddd,UUUU UUUU U.U.,l,l,l
50,ddUddd,UUUUUUU UUUU UUUU U.U.,l,l,l
51,ddUddd,UUU UUUUU UUUUU'U UUUUUUUUUU UUUUUU UU UUUU UUUUUU,dd,dd,dd
52,ddUddd,UUUUU UUUUU'U UUUUUUUUUU UUU,l,l,l
53,ddUddd,Ulll Ulll Ulll Ulllll,dd,dd,l
54,ddUddd,Ullllll lll Ulllll Ulllll: U Ullllll Ullll Ulllll,dd,dd,l
55,ddUddd,UUUUU UUUUUUU UU UUUUUU,d,d,l
56,ddUddd,UUUUUUUU UUUUUUU UUU. UUUUUU,ddd,ddd,ddd
57,ddUddd,UUUUUUUU UUUUUUUU UUUUUUU,dd,dd,l
58,ddUddd,UUUU UUUUUU UUU UUUU UUUUUUU UUUUUUUUUUU @ UUUU,ddd,ddd,dd
59,ddUddd,U.U. UUU'U UUUUUUUU & UUUUUUU,ddd,ddd,dd
60,ddUddd,U.U. UUUUU & UUUUUUUUUUUUUU,dd,dd,l
61,ddUddd,U.U. UUU & UUUUUU UUUUUUU,ddd,ddd,dd
62,ddUddd,U.U. UUUUUU UUUUUUU & UUUUUUU,dd,dd,dd
