id,name,addr,city,phone,type,class
0,lllll llllll'l ll lllllll,ddd l. ll lllllll lll.,lll lllllll,ddd/ddd-dddd,?,?
1,lllll llllll'l ll lllllll,ddd l. ll lllllll llll.,?,ddd-ddd-dddd,lllllllllll,d
2,lll'l llllllllllll,ddddd lllllll llll.,?,ddd/ddd-dddd,llllllll,d
3,lll'l llll,ddddd lllllll llll.,llllll llll,?,lllll,d
4,lllll lll-lll,ddd lllll llllll ll.,?,ddd/ddd-dddd,lllllllllll,?
5,lll-lll lllll,ddd lllll llllll ll.,lll lll,ddd-ddd-dddd,lllllllllll,d
6,llll lllll,ddddd lllllll llll.,lllllll llll,ddd/ddd-dddd,llllll,d
7,llll lllll,ddddd lllllll llll.,lllllll llll,ddd-ddd-dddd,llllll llllll,d
8,lllllllll,ddd l. ll llll lll.,lll lllllll,ddd/ddd-dddd,?,d
9,lllllllll,ddd l. ll llll lll.,lll lllllll,ddd-ddd-dddd,lllllllllll,?
10,lllllll ll llll,dddd llll ll.,lllll llllll,?,llllll,d
11,lllllll ll llll,dddd llll ll.,?,ddd-ddd-dddd,lllllll lll llll,d
12,llllll,dddd lllllll lll.,?,?,lllllllllll,?
13,llllll,dddd lllllll lll.,lll lllllll,ddd-ddd-dddd,lllllllllll,d
14,lllll,dddd llllll llll. llll,?,ddd/ddd-dddd,llllllll,d
15,lllll ll lll llllll,dddd llllll llll.,?,ddd-ddd-dddd,?,d
16,lllllll,ddddd l. llllll ll.,llllll,ddd/ddd-dddd,?,?
17,lllllll,ddddd l. llllll ll.,llllll,?,?,?
18,lllll ll lll lllll,dddd llllll lll,?,ddd/ddd-dddd,?,d
19,lllll  lll,dddd llllll lll,lllllll lllll,?,llllllll (lllllllllll),d
20,llllllllll lllll,dddd l. lllllllll lll.,lll lllllll,ddd/ddd-dddd,lllll,dd
21,lllll,dddd lllllllll lll.,lll lllll,ddd-ddd-dddd,llllllll,dd
22,l'lllllllll,ddd l. ll lllllll llll.,lll lllllll,?,?,dd
23,l'lllllllll,ddd l. ll lllllll llll.,l. lllllllll,?,llllll (lllllll),dd
24,ll llllllllll,dddd lllllll lll.,?,ddd/ddd-dddd,?,dd
25,ll llllllllll (lll lllllll),dddd lllllll lll.,lll lllllll,ddd-ddd-dddd,llllll llllll,dd
26,lllllll llllll,dll ll.,lll lllllll,ddd/ddd-dddd,?,?
27,lllllll llllll,dddd l. lllll ll.,lll lllllll,?,lllllll,dd
28,lllllllll,ddd l. ll lllllll llll.,?,ddd/ddd-dddd,lllll,dd
29,lllllllll,ddd l. ll lllllll llll.,?,?,lllllll,?
30,lll llll,dddd lllll llllll llll.,?,ddd/ddd-dddd,llllllll,dd
31,llll  lll (lll lllllll),dddd lllll llllll llll.,l. lllllllll,ddd-ddd-dddd,lllllllllll,dd
32,llllll,dddd lllllll lll.,?,ddd/ddd-dddd,lllllllllll,dd
33,llllll,dddd lllllll lll.,lll lllllll,ddd-ddd-dddd,lllllllllll,dd
34,llllllll'l lll llllllll,dddd l. lllllll ll.,lll lllllll,ddd/ddd-dddd,llllllll,?
35,llllllll lll llllllll,dddd l. lllllll ll.,lllllllll,ddd-ddd-dddd,llllllllll,dd
36,lllll llllll,ddddd lllllll llll.,?,ddd/ddd-dddd,llllll,dd
37,lllll llllll,ddddd lllllll llll.,?,ddd-ddd-dddd,?,dd
38,lll ll llllllllll,ddd l. lllll ll.,lll lllllll,?,lllllll,dd
39,lll ll llllllllll,ddd l. lllll ll.,?,?,?,dd
40,lllll,dddd llll lll.,lll lllllll,ddd/ddd-dddd,lllllllllll,dd
41,lllll (lll lllllll),dddd llllll llll.,l. lllllllll,?,lllllllllll,?
42,lllllllll,dddd llll llll.,lllll llllll,ddd/ddd-dddd,?,dd
43,lllllllll,dddd llll llll.,lllll llllll,?,lllllll,?
44,llllll llll'l lllllll lllllll lllllll,dd l. lllllll lll.,?,ddd/ddd-dddd,lllll,?
45,llllll llll'l,dd l. lllllll lll.,llllllll,ddd-ddd-dddd,lllllll,dd
46,dd llll,dd l. ddll ll.,lll llll,?,llllllll,dd
47,dd llll,dd l. ddll ll.,lll llll llll,ddd-ddd-dddd,?,dd
48,lllllll,dd l. ddll ll.,lll llll,?,?,dd
49,lllllll,dd l. ddll ll.,lll llll llll,ddd-ddd-dddd,?,?
50,lllllll,dd l. ddll ll.,lll llll,?,?,?
51,lllllll,dd l. ddll ll.,lll llll llll,ddd-ddd-dddd,llllllll (lll),?
52,llll llll,ddd l. ddll ll.,lll llll,ddd/ddd-dddd,?,dd
53,llll llll,ddd l. ddll ll.,?,ddd-ddd-dddd,llllllllllll,dd
54,llll lll llllllll,d l. ddll ll.,?,ddd/ddd-dddd,lllllllllll,dd
55,llll lll llllllll,d l. ddll ll.,lll llll llll,ddd-ddd-dddd,?,dd
56,lllllll'l,dddd llllllll  lllllll ddll lll ddll lll.,lll llll,ddd/ddd-dddd,?,dd
57,lllllll'l,dddd llllllll,lll llll llll,ddd-ddd-dddd,lllllll,dd
58,llllllll llll,ddd dll lll.  lllllll ddll lll ddll lll.,?,ddd/ddd-dddd,llllllllllll,?
59,llllllll llll,ddd lllllll lll.,lll llll llll,ddd-ddd-dddd,?,dd
60,lllllllllll,d llllllll ll.  llll llllll ll.,lll llll,ddd/ddd-dddd,?,dd
61,lllllllllll,d llllllll ll.,lll llll llll,ddd-ddd-dddd,?,dd
62,llllll,dd l. ddll ll.,lll llll,ddd/ddd-dddd,?,dd
63,llllll,dd l. ddll ll.,lll llll llll,ddd-ddd-dddd,?,?
64,lllll,ddd l. ddll ll.,?,ddd/ddd-dddd,lllll,dd
65,lllll,ddd l. ddll ll.,lll llll llll,?,llllll,dd
66,lllllll,ddd l. ddll ll.,?,ddd/ddd-dddd,lllllll,?
67,lllllll,ddd l. ddll ll.,?,?,lllllll,dd
68,llll lllllll lllll llll,dd l. ddll ll.,lll llll,ddd/ddd-dddd,?,dd
69,llll lllllll,dd l. ddll ll.,?,ddd-ddd-dddd,llllllll (lll),?
70,llllll lll & lllll,dd l. ddll ll.,lll llll,ddd/ddd-dddd,llllllll,?
71,llllll lll & lllll,dd l. ddll ll.,?,?,llllllll (lll),dd
72,llllllll llllll,dd l. ddll ll.  lllllll llll lll. l lll llllllll,lll llll,ddd/ddd-dddd,llllllll,dd
73,llllllll llllll,dd l. ddll ll.,lll llll llll,ddd-ddd-dddd,llllllll (lll),?
74,llllll lllll,ddd l. ddll ll.,lll llll,?,lll lllllllll,dd
75,llllll lllll,ddd l. ddll ll.,lll llll llll,?,?,?
76,ll ll,ddd l. ddll ll.,lll llll,ddd/ddd-dddd,?,dd
77,ll ll,ddd l. ddll ll.,?,ddd-ddd-dddd,llllll llllll,?
78,ll lllllllll,dd l. ddll ll.,lll llll,ddd/ddd-dddd,?,?
79,ll lllllllll,dd l. ddll ll.,lll llll llll,ddd-ddd-dddd,llllll (lllllll),?
80,ll llll llllll,dd l. ddll ll.  lllllll dll lll dll lll.,?,?,llllll,dd
81,ll llll llllll,dd l. ddll ll.,lll llll llll,ddd-ddd-dddd,llllll (lllllll),?
82,ll lllllllll,ddd l. ddll ll.,?,ddd/ddd-dddd,?,dd
83,ll lllllllll,ddd l. ddll ll.,lll llll llll,ddd-ddd-dddd,lllllll,dd
84,lll llllllllll,ddd lllllll llll l,?,ddd/ddd-dddd,?,dd
85,lll llllllllll,ddd l. ddll ll.,?,?,?,?
86,llllllllll,d l. ddll ll.,?,ddd/ddd-dddd,llllllll,dd
87,llllllllll (lll llll llll),d l. ddll ll.,?,ddd-ddd-dddd,lllll,dd
88,llllll,ddd l. ddll ll.,?,?,?,?
89,llllll,ddd l. ddll ll.,?,ddd-ddd-dddd,llllll (lllllll),dd
90,lllllllll lllll llll,dd l. ddll ll.,lll llll,?,?,?
91,lllllllll lllll llll,dd l. ddll ll.,lll llll llll,?,lllllll,?
92,lllll,ddd l. ddll ll.,?,ddd/ddd-dddd,llllllll,?
93,lllll,ddd l. ddll ll.,lll llll llll,ddd-ddd-dddd,llllllll (lll),dd
94,llll lllll,ddd dll lll.  lllllll ddll lll ddll lll.,lll llll,?,llllllll,?
95,llll lllll,ddd lllll lll.,lll llll llll,ddd-ddd-dddd,?,dd
96,ll llllll,dd llll ll.  lll llllll ll.,?,ddd/ddd-dddd,lllllll,dd
97,ll llllll,dd llll ll.,?,?,lllllll,dd
98,llllllllll,ddd l. llllllll  lllllll llllll lll lllll lll.,?,ddd/ ddd-dddd,llllll,dd
99,llllllllll,ddd l. llllllll,lll llll llll,ddd-ddd-dddd,?,?
100,llllll,dd l. ddll ll.,lll llll,ddd/ddd-dddd,lllllll,?
101,llllll,dd l. ddll ll.,lll llll llll,?,lllllll,dd
102,llll llllll llll,ddd l. ddll ll.,lll llll,ddd/ddd-dddd,llllllll,dd
103,llll llllll llll (lll llll llll),ddd l. ddll ll.,lll llll llll,ddd-ddd-dddd,llllllll (lll),dd
104,llllllllll,ddd l. ddll ll.,lll llll,?,llllll,?
105,llllllllll,ddd l. ddll ll.,?,ddd-ddd-dddd,lllllll,dd
106,lllllllll,dd l. ddll ll.,lll llll,ddd/ddd-dddd,lllllllllllll,?
107,lllllllll,dd l. ddll ll.,lll llll llll,ddd-ddd-dddd,?,?
108,llllll,dd lll. l ll dll ll.,lll llll,ddd/ddd-dddd,lllllll,?
109,llllll,dd lll. l,lll llll llll,ddd-ddd-dddd,lllllll,?
110,lllllll llll,dd lllllllllll lllll,lll llll,?,ll ddd/ddd-dddd llllllll,dd
111,lllllll llll,dd lllllllllll lllll,lll llll llll,ddd-ddd-dddd,llllllll (lll),?
